Sample,Site,[DNA] (ng/ul),island,direction,in_off,site,site_zone,DNAcon,zoox
626,Moorea SE Outer,120,Moorea,SE,Outer,MSE,MSEO,110.4,y
627,Moorea SE Outer,325,Moorea,SE,Outer,MSE,MSEO,324.5,y
63,Moorea NW Inner,784,Moorea,NW,Inner,MNW,MNWI,748.3,y
630,Moorea SE Outer,239,Moorea,SE,Outer,MSE,MSEO,238.6,y
632,Moorea SE Outer,152,Moorea,SE,Outer,MSE,MSEO,151.7,y
633,Moorea SE Outer,211,Moorea,SE,Outer,MSE,MSEO,210.5,y
65,Moorea NW Inner,79,Moorea,NW,Inner,MNW,MNWI,78.7,y
70,Moorea NW Inner,729,Moorea,NW,Inner,MNW,MNWI,729.7,y
72,Moorea NW Inner,744,Moorea,NW,Inner,MNW,MNWI,744.3,y
73,Moorea NW Inner,742,Moorea,NW,Inner,MNW,MNWI,742.4,y
76,Moorea NW Inner,159,Moorea,NW,Inner,MNW,MNWI,158.7,y
87,Moorea NW Inner,246,Moorea,NW,Inner,MNW,MNWI,246,y
89,Moorea NW Inner,231,Moorea,NW,Inner,MNW,MNWI,231.2,y
96,Moorea NW Inner,168,Moorea,NW,Inner,MNW,MNWI,176.7,y
97,Moorea NW Inner,104,Moorea,NW,Inner,MNW,MNWI,104.1,y
98,Moorea NW Inner,476,Moorea,NW,Inner,MNW,MNWI,476.1,y
